"1681";"Periculosidade"
"1690";"Contribuição / Taxa Assistencial"
"1705";"Registro de Entidade Sindical"
"1723";"Assédio Moral"
"1849";"Culpa Recíproca"
"1888";"Descontos Salariais - Devolução"
"1904";"Despedida / Dispensa Imotivada"
"1920";"Diárias"
"1965";"Empregado Público"
"1976";"Contrato Suspenso"
"1998";"Multa de 40% do FGTS"
"2021";"Indenização / Terço Constitucional"
"2117";"Supressão de Horas Extras Habituais - Indenização"
"2215";"Multa Prevista em Norma Coletiva"
"2275";"Piso Salarial da Categoria / Salário Mínimo Profissional"
"2349";"Contribuição de Previdência Privada - Resgate"
"2364";"Plano de Saúde"
"2449";"Reajuste Salarial"
"2452";"Salário Vencido / Retido"
"2477";"Seguro de Vida"
"2479";"Indenização"
"2480";"Liberação das Guias"
"2557";"Contrato de Aprendizagem"
"2558";"Cooperativa de Trabalho"
"2583";"Abono"
"2604";"Adicional de Transferência"
"2624";"Complementação de Aposentadoria / Pensão"
"2641";"AVISO PRÉVIO"
"2657";"Anistia"
"2663";"Abono Pecuniário"
"2666";"Décimo Terceiro Salário"
"2697";"Salário por Equiparação / Isonomia"
"3370";"Homicídio Simples"
"3371";"Homicídio Privilegiado"
"3372";"Homicídio Qualificado"
"3373";"Induzimento, Instigação ou Auxílio a Suicídio"
"3375";"Infanticídio"
"3386";"Leve"
"3387";"Seguida de Morte"
"3390";"Perigo para a vida ou saúde de outrem"
"3391";"Abandono de incapaz"
"3392";"Omissão de socorro"
"3393";"Rixa"
"3395";"Calúnia"
"3396";"Difamação"
"3397";"Injúria"
"3401";"Constrangimento ilegal "
"3402";"Ameaça "
"3403";"Seqüestro e cárcere privado "
"3404";"Redução a condição análoga à de escravo "
"3406";"Violação de domicílio "
"3408";"Violação de correspondência "
"3410";"Violação de comunicação telegráfica, radioelétrica ou telefônica "
"3413";"Divulgação de segredo "
"3414";"Violação do segredo profissional "
"3416";"Furto "
"3417";"Furto Qualificado "
"3418";"Furto de coisa comum "
"3419";"Roubo "
"3420";"Extorsão "
"3421";"Extorsão mediante seqüestro "
"3422";"Extorsão indireta"
"3423";"Alteração de limites "
"3424";"Usurpação de águas "
"3425";"Esbulho possessório"
"3426";"Dano"
"3427";"Introdução ou abandono de animais em propriedade alheia"
"3428";"Dano em coisa de valor artístico, arqueológico ou histórico"
"3429";"Alteração de local especialmente protegido"
"3430";"Apropriação indébita Previdenciária "
"3431";"Estelionato"
"3432";"Estelionato Majorado "
"3433";"Outras fraudes"
"3434";"Fraude à execução "
"3435";"Receptação"
"3436";"Apropriação indébita"
"3437";"Apropriação de Coisa Havida por Erro, Caso Fortuito ou Força da Natureza"
"3443";"Violação de direito autoral"
"3446";"Atentado contra a liberdade de trabalho"
"3447";"Atentado contra a liberdade de contrato de trabalho e boicotagem violenta"
"3448";"Atentado contra a liberdade de associação"
"3449";"Paralisação de trabalho, seguida de violência ou perturbação da ordem"
"3450";"Paralisação de trabalho de interesse coletivo"
"3451";"Invasão de estabelecimento industrial, comercial ou agrícola. Sabotagem"
"3452";"Frustração de direitos assegurados por lei trabalhista"
"3453";"Exercício de atividade com infração de decisão administrativa "
"3458";"Destruição / Subração / Ocultação de Cadáver"
"3459";"Impedimento ou Perturbação de Cerimônia Funerária"
"3460";"Vilipêndio a Cadáver"
"3461";"Violação a Sepultura "
"3462";"Ultraje / Impedimento ou Perturbação de Culto Religioso"
"3465";"Estupro "
"3466";"Atentado Violento ao Pudor "
"3467";"Atentado ao Pudor Mediante Fraude"
"3468";"Corrupção de Menores"
"3469";"Ultraje Público ao Pudor (Ato/Escrito Obsceno)"
"3471";"Mediação para Servir a Lascívia de Outrem "
"3474";"Abandono Material"
"3475";"Abandono Intelectual"
"3476";"Entrega de Filho Menor a Pessoa Inidônea"
"3479";"Bigamia"
"3480";"Conhecimento Prévio de Impedimento "
"3481";"Induzimento a erro essencial e ocultação de impedimento"
"3482";"Simulação de Casamento"
"3483";"Simulação de Autoridade para Celebração de Casamento"
"3485";"Parto Suposto "
"3486";"Registro de Nascimento Inexistente"
"3487";"Sonegação do Estado de Filiação"
"3489";"Induzimento a Fuga, Entrega Arbitrária ou Sonegação de Incapazes"
"3490";"Subtração de Incapazes "
"3492";"Incêndio"
"3493";"Explosão "
"3494";"Uso de gás tóxico ou asfixiante "
"3495";"Inundação / Perigo de Inundação"
"3496";"Desabamento ou desmoronamento"
"3497";"Subtração, ocultação ou inutilização de material de salvamento"
"3500";"Desastre ferroviário / Perigo de Desastre Ferroviário"
"3501";"Atentado contra a segurança de transporte público"
"3502";"Arremesso de projétil"
"3503";"Atentado contra a segurança de serviços de utilidade pública "
"3504";"Interrupção /perturbação de serviços telegráficos/telefônicos"
"3505";"Epidemia "
"3506";"Emprego de Processo Proibido/Substância não permitida"
"3507";"Invólucro ou recipiente com falsa indicação "
"3508";"Falsificação / Corrupção / Adulteração / Alteração de produto destinado a fins terapêuticos ou medicinais"
"3509";"Exercício Ilegal da Medicina, Arte Dentária ou Farmacêutica"
"3510";"Charlatanismo "
"3512";"Curandeirismo "
"3513";"Envenenamento de Água Potável / Substância Alimentícia ou Medicinal"
"3514";"Falsificação / Corrupção / Adulteração / Alteração de Substância ou Produtos Alimentícios"
"3515";"Infração de Medida Sanitária Preventiva"
"3516";"Omissão de Notificação de Doença"
"3517";"Outras Substâncias Nocivas a Saúde Pública "
"3519";"Substância Destinada à Falsificação"
"3521";"Quadrilha ou Bando"
"3524";"Moeda Falsa / Assimilados"
"3527";"Petrechos para falsificação de moeda "
"3528";"Emissão de título ao portador sem permissão legal "
"3529";"Falsificação de papéis públicos "
"3530";"Falsificação do selo ou sinal público "
"3531";"Falsificação de documento público"
"3532";"Falsificação de documento particular "
"3533";"Falsidade ideológica "
"3534";"Falso reconhecimento de firma ou letra"
"3535";"Certidão ou atestado ideologicamente falso "
"3536";"Falsidade material de atestado ou certidão "
"3537";"Falsidade de atestado médico "
"3538";"Reprodução ou adulteração de selo ou peça filatélica "
"3539";"Uso de documento falso "
"3540";"Supressão de documento "
"3541";"Falsificação do sinal empregado no contraste de metal precioso ou na fiscalização alfandegária, ou para outros fins "
"3542";"Falsa identidade "
"3543";"Fraude de lei sobre estrangeiros"
"3545";"Petrechos de Falsificação de Papéis Públicos"
"3546";"Adulteração de Sinal Identificador de Veículo Automotor"
