"1JTREC";"1ª TURMA RECURSAL"
"1JTUR1";"PRIMEIRO GABINETE DA 1ª TURMA RECURSAL"
"1JTUR2";"SEGUNDO GABINETE DA 1ª TURMA RECURSAL"
"1JTUR3";"TERCEIRO GABINETE DA 1ª TURMA RECURSAL"
"1STREC";"SEC. 1ª TURMA RECURSAL"
"1STUR1";"SEC. DO PRIMEIRO GABINETE DA 1ª TURMA RECURSAL"
"1STUR2";"SEC. DO SEGUNDO GABINETE DA 1ª TURMA RECURSAL"
"1STUR3";"SEC. DO TERCEIRO GABINETE DA 1ª TURMA RECURSAL"
"2JTREC";"2ª TURMA RECURSAL"
"2JTUR1";"PRIMEIRO GABINETE DA 2ª TURMA RECURSAL"
"2JTUR2";"SEGUNDO GABINETE DA 2ª TURMA RECURSAL"
"2JTUR3";"TERCEIRO GABINETE DA 2ª TURMA RECURSAL"
"2STREC";"SEC. 2ª TURMA RECURSAL"
"2STUR1";"SEC. DO PRIMEIRO GABINETE DA 2ª TURMA RECURSAL"
"2STUR2";"SEC. DO SEGUNDO GABINETE DA 2ª TURMA RECURSAL"
"2STUR3";"SEC. DO TERCEIRO GABINETE DA 2ª TURMA RECURSAL"
"ASSADMP";"ASSESSORIA ADMINISTRATIVA DA PRESIDENCIA"
"BAIXA";"DIRETORIA JUDICIÁRIA - DIV. DE ANALISE DE BAIXA"
"CCI01";"SEC. DA 1ª CÂMARA CÍVEL"
"CCI02";"SEC. DA 2ª CÂMARA CÍVEL"
"CCR01";"SEC. DA 1ª CÂMARA CRIMINAL"
"CCR02";"SEC. DA 2ª CÂMARA CRIMINAL"
"CDIST";"SEC. DA COMISSÃO DE DISTRIBUIÇÃO E COORD."
"CEMAN";"CENTRAL DE MANDADOS"
"CIV01";"1ª CÂMARA CÍVEL"
"CIV02";"2ª CÂMARA CÍVEL"
"CJDOC";"COMISSÃO DE JURISPRUDÊNCIA E DOCUMENTAÇÃO"
"COJUN";"CONTADORIA JUDICIAL UNIFICADA"
"COMGESP";"COMITÊ GESTOR DE PRECATÓRIOS"
"CONTAD";"CONTADORIA 2º GRAU"
"COORD";"COMISSÃO DE DISTRIBUIÇÃO E COORD."
"CORRE";"CORREGEDORIA"
"DIFINAN";"DIRETORIA FINANCEIRA"
"DIGEP";"DIRETORIA DE GESTÃO DE PESSOAS"
"DIRGERALTJ";"DIRETORIA GERAL DO TJTO"
"DISTR";"DIRETORIA JUDICIÁRIA - DIV. DISTRIBUIÇÃO"
"DJPRES";"DIRETORIA JUDICIÁRIA - PRESIDÊNCIA"
"GAB01";"GAB. DA DESA. ANGELA PRUDENTE"
"GAB02";"GAB. DO DES. RONALDO EURIPEDES"
"GAB03";"GAB. DO DES. AMADO CILTON"
"GAB04";"GAB. DO DES. HELVÉCIO DE BRITO MAIA NETO"
"GAB05";"GAB. DO DES. JOAO RIGO GUIMARAES"
"GAB06";"GAB. DA DESA. MAYSA VENDRAMINI ROSAL"
"GAB07";"GAB. DO DES. MOURA FILHO"
"GAB08";"GAB. DO DES. LUIZ GADOTTI"
"GAB09";"GAB. DA DESA. JACQUELINE ADORNO"
"GAB10";"GAB. DA DESA. ETELVINA MARIA SAMPAIO FELIPE"
"GAB11";"GAB. DO DES. MARCO VILLAS BOAS"
"GAB12";"GAB. DO DES. EURÍPEDES LAMOUNIER"
"GABCORR";"GAB. CORREGEDORIA"
"JCCR01";"1ª CÂMARA CRIMINAL"
"JCCR02";"2ª CÂMARA CRIMINAL"
"JPLENA";"TRIBUNAL PLENO"
"JSRCON";"SEC. DE RECURSOS CONSTITUCIONAIS"
"JTCR01";"1ª TURMA DA 1ª CÂMARA CRIMINAL"
"JTCR02";"2ª TURMA DA 1ª CÂMARA CRIMINAL"
"JTCR03";"3ª TURMA DA 1ª CÂMARA CRIMINAL"
"JTCR04";"4ª TURMA DA 1ª CÂMARA CRIMINAL"
"JTCR05";"5ª TURMA DA 1ª CÂMARA CRIMINAL"
